
=cluster;reliance;idea;airtel;mtnl
colors=light_green,yellow,red,med_blue
=table
title=Last Hop Latency inside ISP network for www.ebay.in
yformat=%gms
rotateby=-45
legendx=right
legendy=center
=nogridy
ylabel=latency in ms
xlabel=Locations
# stretch it out in x direction
xscale=1
=table
#	reliance	idea	airtel	mtnl

Delhi3G	166.564870796	0	229.855502483	545.727414474	
Ukwa	0	300.83043188	853.785630769	976.903270622	
Paraswada	0	233.826024513	872.264793078	788.410613599	
Jaipur	0	244.504802532	191.114102564	215.387551282	
Delhi	226.353055749	493.701677108	249.670023085	519.153274168	
Samanapur	407.573542353	0	0	728.094334459	
Lamta	559.436879902	0	656.102753561	624.175954717	
Sikar	0	229.020115242	292.974104167	324.376060484	
Dindori	0	170.531982379	175.192386873	771.394048568	
Hanumanpura	0	205.790011111	318.458932432	689.870989848	
Amarpur	0	246.079455882	782.579906442	730.201748918	
=yerrorbars
Delhi3G	73.8698383409	0	586.233533349	858.885638921	
Ukwa	0	139.021503628	206.229866115	314.95569922	
Paraswada	0	88.4508527403	486.132258011	181.2634759	
Jaipur	0	176.336610757	233.366533249	169.288911463	
Delhi	397.754947671	254.655841104	403.649110968	493.594068195	
Samanapur	262.084499686	0	0	541.961161284	
Lamta	296.053469686	0	231.744090445	257.197001721	
Sikar	0	122.04509611	218.346635902	258.019919722	
Dindori	0	165.146418907	232.657320088	631.338252341	
Hanumanpura	0	81.9282265211	279.301816494	382.082385267	
Amarpur	0	89.2342693064	322.860532164	154.924415694	
